combination_index,selected_datatypes,mean_best_val_accuracy,mean_test_accuracy
107,"consensus_peak,end_motif,FSD,OCR,window",0.9120954287620955,0.9038594255985559
113,"artemis,consensus_peak,end_motif,FSD,OCR,window",0.9116727838950062,0.9038859691033605
93,"artemis,consensus_peak,end_motif,FSD,window",0.9102658213769325,0.9038992408557625
78,"consensus_peak,end_motif,FSD,window",0.9090646201757314,0.897820778255561
118,"consensus_peak,end_motif,FSD,OCR,gene_counts,window",0.9078467356245135,0.8990152359717576
119,"artemis,consensus_peak,end_motif,FSD,OCR,gene_counts,window",0.907223890557224,0.8953522323087539
39,"consensus_peak,end_motif,window",0.9068735402068735,0.8953920475659606
80,"consensus_peak,end_motif,OCR,window",0.9066510955399844,0.8990948664861708
115,"artemis,consensus_peak,end_motif,OCR,gene_counts,window",0.906250695139584,0.8929500451239581
87,"end_motif,FSD,OCR,window",0.9062006450895341,0.8916759568933481
95,"artemis,consensus_peak,end_motif,OCR,window",0.9060616171727283,0.9039523278653713
114,"artemis,consensus_peak,end_motif,FSD,gene_counts,window",0.9058002446891334,0.9002229654403568
108,"consensus_peak,end_motif,FSD,gene_counts,window",0.9046101657212768,0.8990285077241599
109,"consensus_peak,end_motif,OCR,gene_counts,window",0.9044044044044044,0.8966395922917663
106,"consensus_peak,end_motif,FSD,OCR,gene_counts",0.9039817595373152,0.894144502840155
102,"artemis,end_motif,FSD,OCR,window",0.9039761984206428,0.8928969581143495
111,"end_motif,FSD,OCR,gene_counts,window",0.9037759982204427,0.8917025003981526
112,"artemis,consensus_peak,end_motif,FSD,OCR,gene_counts",0.9030030030030028,0.8941577745925573
46,"end_motif,FSD,OCR",0.9025747970192415,0.8917290439029569
48,"end_motif,FSD,window",0.901957513068624,0.8917025003981526
117,"artemis,end_motif,FSD,OCR,gene_counts,window",0.9019519519519519,0.8989886924669533
89,"end_motif,OCR,gene_counts,window",0.9017684351017685,0.8953655040611562
59,"artemis,consensus_peak,end_motif,window",0.9015849182515849,0.8954185910707648
76,"consensus_peak,end_motif,FSD,OCR",0.9015571126682238,0.8929367733715561
70,"artemis,end_motif,OCR,window",0.9013735958180402,0.8893003132133567
57,"artemis,consensus_peak,end_motif,OCR",0.9013513513513514,0.88683176726655
96,"artemis,consensus_peak,end_motif,gene_counts,window",0.9011622733844956,0.8990683229813664
88,"end_motif,FSD,gene_counts,window",0.9011289066844621,0.8977676912459521
68,"artemis,end_motif,FSD,window",0.9011122233344457,0.8941577745925573
104,"artemis,end_motif,OCR,gene_counts,window",0.9009731954176399,0.8941710463449594
91,"artemis,consensus_peak,end_motif,FSD,OCR",0.9009287064842619,0.8929235016191538
94,"artemis,consensus_peak,end_motif,OCR,gene_counts",0.9005672339005673,0.8917157721505549
37,"consensus_peak,end_motif,OCR",0.9003503503503504,0.8904947709295536
77,"consensus_peak,end_motif,FSD,gene_counts",0.9001501501501501,0.8977809629983544
