sample	true_state	OCR_pseudotime	OCR_score_0	OCR_score_1	gene_counts_pseudotime	gene_counts_score_0	gene_counts_score_1	consensus_peak_pseudotime	consensus_peak_score_0	consensus_peak_score_1	window_pseudotime	window_score_0	window_score_1	y_test
EPI-509_XH-GJH	S00	0.1112323328852653	0.27501627908801246	0.07245151289358283	0.1488370150327682	0.08417620803415482	0.19099500653507043	0.1358601748943328	0.15881839941263923	0.2050463561124045	0.0674422085285186	0.18456738663958747	0.31434658307655394	0
EPI-509_XH-GXW	S10	0.5175029635429382	0.5008801827349757	0.3591788243299877	0.4566033482551574	0.4489851120219852	0.45656248522804593	0.3052796125411987	0.21521416436670815	0.06657089735100744	0.4610028266906738	0.6715885483256763	0.5254695147786536	1
EPI-509_XH-TB	S00	0.1266644895076751	0.2993689728614627	0.2627893080726678	0.0	0.1002630282583722	0.17733387866437372	0.1137316077947616	0.2608203648574826	0.19281945400321668	0.2507174909114837	0.28262298594757324	0.3931664994461019	0
EPI-509_XH-YY	S00	0.7818549275398254	0.31165306314021884	0.32707544988523757	0.1144938766956329	0.1908508219293479	0.1927312642154292	0.1027814149856567	0.21189940003499427	0.07735242734064343	0.3440715372562408	0.38570164935804574	0.385646020499984	0
EPI-509_XH-ZZQ	S10	0.4297792017459869	0.37336017983431685	0.42425775321996656	0.323940634727478	0.28275808959704324	0.20478013609832707	0.2056439965963363	0.2595889638475047	0.05575379362670645	0.2725715339183807	0.3996702901341315	0.33246570880074816	1
EPI-538_XH-CTS	S11	0.5817725658416748	0.6528431185322346	0.5176619541251618	0.5507259368896484	0.3795855553911066	0.4294000022342119	0.2906444668769836	0.17045453603937458	0.33473429557001333	0.6715558171272278	0.6718016960528003	0.7228180260807885	2
EPI-538_XH-DHZ	S01	0.3606732189655304	0.08630459631730025	0.05604449353795606	0.1968974471092224	0.15043311228135425	0.07715852854765026	0.1365218013525009	0.06533165350593842	0.1439515811255464	0.116399772465229	0.1287750253935021	0.13483088049062514	1
EPI-538_XH-DLY	S10	0.2063768208026886	0.24472130657522198	0.2415181067657815	0.4168671071529388	0.20823128179909764	0.11900223461426615	0.3152139186859131	0.0008401346402768844	0.157664601972922	0.1050300970673561	0.3070170724694088	0.22820322303880672	1
EPI-538_XH-GJP	S10	0.2548170089721679	0.28593205346830913	0.18410448242289204	0.2505466938018799	0.14195950523601936	0.07572606620836182	0.2299972623586654	0.00880762942429179	0.14366621032061586	0.0957743301987648	0.023933918360837497	0.10767323497187742	1
EPI-538_XH-GSW	S00	0.6740629076957703	0.8877228885887123	0.709751671067655	0.6706560254096985	0.7564933079423641	0.7702615145726505	0.2341943830251693	0.5513248838709502	0.476302818963528	0.6510905027389526	0.8578375464099607	0.9024136364783367	0
EPI-538_XH-HFR	S11	0.3944398760795593	0.3478724933754946	0.4312852190960435	0.2391019910573959	0.22785930786889996	0.11295857550483394	0.2931511402130127	0.17408719617372015	0.3212135585902881	0.5657735466957092	0.5135112911711796	0.5370272785273819	2
EPI-538_XH-HW	S10	0.4208831787109375	0.41012142626589326	0.4031207439978148	0.2779276669025421	0.26484318945422974	0.2960366372633775	0.1647748053073883	0.15469884781303142	0.14432473444612817	0.4535547494888305	0.5678492145665146	0.5085459530965227	1
EPI-538_XH-HXC	S00	0.2656578421592712	0.33969722641035016	0.28271196253916764	0.2787182927131653	0.1035055509835329	0.05808433086391961	0.243694469332695	0.054225999988712296	0.09849275557500835	0.2760104537010193	0.2739351165437336	0.10192446646627955	0
EPI-538_XH-HZK	S01	0.1219332888722419	0.47671137307347855	0.27731090133649117	0.238866314291954	0.26709395858256196	0.18954947907265624	0.2640791833400726	0.31953131614148367	0.2973296627666994	0.4235042631626129	0.3666378403056184	0.43521558524780973	1
EPI-538_XH-JGY	S10	0.3786671161651611	0.38822606383903463	0.27878128236795535	0.2054663896560669	0.32472311972987866	0.3277180670204241	0.1678960621356964	0.12368196774976335	0.15546053443767463	0.4123505651950836	0.5014305264578801	0.39430377602698313	1
EPI-538_XH-LGH	S00	0.173389583826065	0.4017068398139007	0.41921142284734714	0.2585274577140808	0.20342988641843388	0.13906565322610193	0.1452225148677826	0.03947472860088415	0.2462824365470698	0.2073263078927993	0.3667580661882892	0.47904682334584103	0
EPI-538_XH-LGZ	S01	0.2057121992111206	0.5401657310160433	0.4101640189016427	0.2236945182085037	0.1918046246398656	0.22870303114932522	0.2710285186767578	0.12943787822879707	0.23437485661847543	0.3992867469787597	0.3520212769136142	0.48552955401462916	1
EPI-538_XH-LHL	S11	0.2816869616508484	0.48778619622659464	0.42848359858359564	0.3049699068069458	0.3678438470391149	0.251906444533003	0.4835314750671386	0.2718381736860534	0.11996585735963423	0.5129716396331787	0.47086261596555434	0.5246393195784229	2
EPI-538_XH-LHY	S00	0.3511306047439575	0.3245869859759482	0.41213276781197955	0.2752247750759125	0.32833791362933246	0.276962227447306	0.1387739032506942	0.04669456927095487	0.07536798179058807	0.1645593047142028	0.551033265453301	0.3761616685532442	0
EPI-538_XH-LJF	S11	0.73963862657547	0.9075090645026956	0.7068524067084344	0.8497558236122131	0.6894733252617101	0.7566718854972634	0.8870524764060974	0.6857364296917285	0.5259977238239758	0.8588048815727234	1.0	0.8549572910793569	2
EPI-538_XH-LJP	S10	0.103579968214035	0.11242284104899165	0.22608661815634876	0.1221494376659393	0.14404839224909363	0.14901844184702784	0.1863021701574325	0.007217630677052638	0.0766513657056113	0.1913856714963913	0.11342930284299711	0.09805470203523216	1
EPI-538_XH-LQ	S01	0.2146011441946029	0.2717158739670187	0.3069989404310664	0.1331391781568527	0.359663337268482	0.19381169162536788	0.1943237483501434	0.25644822086353936	0.20496233724919902	0.2821102738380432	0.4715246733762181	0.42321374441793386	1
EPI-538_XH-LQR	S11	0.4820295572280884	0.2914720741257956	0.24601057580422692	0.2396900802850723	0.05778381525325069	0.2793201071898789	0.3608272075653076	0.18884030419691367	0.16405732691379993	0.3951687812805176	0.29548513335100507	0.2157394245766837	2
