sample,raw_total_reads,clean_total_reads,clean_retention_rate,map_mapped_reads,map_mapping_rate,last_total_reads,last_retention_rate,paired_bam_total_reads,paired_bam_retention_rate
EPI-509_XH-GJH,40732834,38135542,0.936236,38434333,0.998864,18804072,0.461644,18775166,0.998463
EPI-509_XH-GXW,39594102,36791300,0.929212,37098276,0.998983,20238237,0.511143,20206137,0.998414
EPI-509_XH-TB,41218602,38909892,0.943989,39214000,0.99885,19392734,0.470485,19361102,0.998369
EPI-509_XH-YY,39530448,37752426,0.955021,38086078,0.99907,19779284,0.500356,19736683,0.997846
EPI-509_XH-ZZQ,42770336,40303258,0.942318,40908943,0.998852,17341235,0.40545,17271751,0.995993
EPI-538_XH-CTS,43441122,42197884,0.971381,42479797,0.997448,19282869,0.443885,19254020,0.998504
EPI-538_XH-DHZ,32185382,30015116,0.93257,30224379,0.998476,16661995,0.517688,16636847,0.998491
EPI-538_XH-DLY,37150368,35875708,0.965689,36174447,0.998775,18312996,0.492943,18279568,0.998175
EPI-538_XH-GJP,36809084,34815972,0.945853,35032214,0.99885,20510051,0.557201,20490691,0.999056
EPI-538_XH-GSW,43769234,43117238,0.985104,43265019,0.999194,23620528,0.539661,23600988,0.999173
EPI-538_XH-HFR,49099932,48013200,0.977867,48540071,0.998691,18570712,0.378223,18531101,0.997867
EPI-538_XH-HW,38618108,37554114,0.972448,37802633,0.998925,18179390,0.470748,18153113,0.998555
EPI-538_XH-HXC,32934528,30699258,0.93213,31099449,0.998459,16158078,0.490612,16121655,0.997746
EPI-538_XH-HZK,41136958,40278942,0.979142,40633132,0.998827,18822137,0.457548,18785329,0.998044
EPI-538_XH-JGY,46931636,45503062,0.969561,45889838,0.997963,19742274,0.42066,19694788,0.997595
EPI-538_XH-LGH,43151882,41986644,0.972997,42162003,0.998326,22594315,0.5236,22568995,0.998879
EPI-538_XH-LGZ,53657340,52316064,0.975003,52639098,0.998509,24023652,0.447723,23986684,0.998461
EPI-538_XH-LHL,42848012,41510528,0.968785,41740282,0.998397,21221481,0.495273,21195886,0.998794
EPI-538_XH-LHY,42827546,41182542,0.96159,41521670,0.998966,20708150,0.483524,20675244,0.998411
EPI-538_XH-LJF,41991140,40447882,0.963248,40937170,0.998875,18020897,0.42916,17982109,0.997848
EPI-538_XH-LJP,39997954,38715888,0.967947,38999326,0.998821,20320300,0.508033,20286742,0.998349
EPI-538_XH-LQ,46495006,42732094,0.919068,43180667,0.99818,22652910,0.487212,22619066,0.998506
EPI-538_XH-LQR,41645946,38449674,0.923251,38815973,0.998446,20470821,0.491544,20442068,0.998595
EPI-538_XH-LWX,37001078,34441654,0.930828,34731811,0.998431,19035426,0.514456,19013222,0.998834
EPI-538_XH-LXM,24347794,22955236,0.942806,23204076,0.998509,12301482,0.50524,12263204,0.996888
EPI-538_XH-LXQ,36516182,35430586,0.970271,36070555,0.998626,14649778,0.401186,14579000,0.995169
EPI-538_XH-LYH,38269210,35295996,0.922308,35698288,0.997959,19261652,0.50332,19217279,0.997696
EPI-538_XH-LYM,41019416,39627868,0.966076,39944009,0.99881,19112680,0.465942,19080963,0.998341
EPI-538_XH-MBL,39729802,37828110,0.952134,38117360,0.99853,19446185,0.489461,19413272,0.998307
EPI-538_XH-MCR,35307824,33574140,0.950898,33795784,0.998357,18014626,0.510216,17983158,0.998253
