GO_ID	GO_Description	GO_Type	fold_enrichment	qvalue_norm	program_component
GO:0033554	cellular response to stress	BP	2.084530178103052	3.397001992153382	consensus_peak_C1
GO:0006950	response to stress	BP	1.7970163153218375	3.397001992153382	consensus_peak_C1
GO:0031981	nuclear lumen	CC	1.5683598448349965	3.397001992153382	consensus_peak_C1
GO:0005829	cytosol	CC	1.5230500306467458	3.397001992153382	consensus_peak_C1
GO:0031974	membrane-enclosed lumen	CC	1.518589778248234	3.397001992153382	consensus_peak_C1
GO:0043233	organelle lumen	CC	1.518589778248234	3.397001992153382	consensus_peak_C1
GO:0070013	intracellular organelle lumen	CC	1.518589778248234	3.397001992153382	consensus_peak_C1
GO:0048523	negative regulation of cellular process	BP	1.4682674392329491	3.397001992153382	consensus_peak_C1
GO:0048519	negative regulation of biological process	BP	1.4636620145133108	3.397001992153382	consensus_peak_C1
GO:0051716	cellular response to stimulus	BP	1.3657105256419524	3.397001992153382	consensus_peak_C1
GO:0050896	response to stimulus	BP	1.330226714590537	3.397001992153382	consensus_peak_C1
GO:0044238	primary metabolic process	BP	1.3106329348984918	3.397001992153382	consensus_peak_C1
GO:0008152	metabolic process	BP	1.2791263616495077	3.397001992153382	consensus_peak_C1
GO:0005737	cytoplasm	CC	1.2384858916555923	3.397001992153382	consensus_peak_C1
GO:0043229	intracellular organelle	CC	1.1966655314351042	3.397001992153382	consensus_peak_C1
GO:0005515	protein binding	MF	1.1774424833989532	3.397001992153382	consensus_peak_C1
GO:0005622	intracellular anatomical structure	CC	1.1771648597032331	3.397001992153382	consensus_peak_C1
GO:0005488	binding	MF	1.1364999654494452	3.397001992153382	consensus_peak_C1
GO:0009987	cellular process	BP	1.128881309566788	3.397001992153382	consensus_peak_C1
GO:0003674	molecular_function	MF	1.1056164449332961	3.397001992153382	consensus_peak_C1
GO:0008150	biological_process	BP	1.1044031882511287	3.397001992153382	consensus_peak_C1
GO:0005654	nucleoplasm	CC	1.5930008949814185	0.16022264597411132	consensus_peak_C1
GO:0043231	intracellular membrane-bounded organelle	CC	1.2170641099224366	0.16022264597411132	consensus_peak_C1
GO:0043227	membrane-bounded organelle	CC	1.1920766763954052	0.1586974082278784	consensus_peak_C1
GO:0032991	protein-containing complex	CC	1.4653292459369802	0.15320456715204483	consensus_peak_C1
GO:0002376	immune system process	BP	1.8507968126993823	0.14382258803728373	consensus_peak_C1
GO:0044237	cellular metabolic process	BP	1.2849205153329313	0.1408418157761285	consensus_peak_C1
GO:0009892	negative regulation of metabolic process	BP	1.6505734230465443	0.13212603624003855	consensus_peak_C1
GO:0005634	nucleus	CC	1.328025625853224	0.13044125729360717	consensus_peak_C1
GO:0043170	macromolecule metabolic process	BP	1.2792213307348632	0.1292286162127605	consensus_peak_C1
GO:0043226	organelle	CC	1.1554779933123516	0.12838053787114792	consensus_peak_C1
GO:0050794	regulation of cellular process	BP	1.2028158227568737	0.12800636934307186	consensus_peak_C1
GO:0031324	negative regulation of cellular metabolic process	BP	1.6879941333592245	0.12376022090756836	consensus_peak_C1
GO:0070887	cellular response to chemical stimulus	BP	1.7589650634314586	0.12262935384448753	consensus_peak_C1
GO:0042221	response to chemical	BP	1.5325829728661005	0.11648662154441317	consensus_peak_C1
GO:0019222	regulation of metabolic process	BP	1.3477979016696542	0.11488912341361933	consensus_peak_C1
GO:0007165	signal transduction	BP	1.353713160054562	0.11168634079008884	consensus_peak_C1
GO:1902531	regulation of intracellular signal transduction	BP	1.739359549669868	0.10953420391083671	consensus_peak_C1
GO:0048583	regulation of response to stimulus	BP	1.4635001163570929	0.10953420391083671	consensus_peak_C1
GO:0065007	biological regulation	BP	1.1711341612176418	0.10953420391083671	consensus_peak_C1
GO:0050789	regulation of biological process	BP	1.177170073243455	0.10953259673352075	consensus_peak_C1
GO:1901700	response to oxygen-containing compound	BP	1.8426397529112961	0.10810766173771093	consensus_peak_C1
GO:0010605	negative regulation of macromolecule metabolic process	BP	1.6126211259730077	0.10701160087421971	consensus_peak_C1
GO:0009966	regulation of signal transduction	BP	1.5269818550899117	0.10461421388738557	consensus_peak_C1
GO:0006952	defense response	BP	1.942206528535629	0.1021756818991748	consensus_peak_C1
GO:0019899	enzyme binding	MF	1.7534804488236666	0.10067045786093044	consensus_peak_C1
GO:0031090	organelle membrane	CC	1.5162215056272155	0.10059843357395806	consensus_peak_C1
GO:0009058	biosynthetic process	BP	1.29224808364957	0.09897014446775848	consensus_peak_C1
GO:0019538	protein metabolic process	BP	1.4317268396231697	0.09896726170060864	consensus_peak_C1
GO:0035556	intracellular signal transduction	BP	1.5247409457638887	0.09766301654209382	consensus_peak_C1
GO:0043232	intracellular non-membrane-bounded organelle	CC	1.3683294217074373	0.09607303995120894	consensus_peak_C1
GO:0043228	non-membrane-bounded organelle	CC	1.3682804465174276	0.09607303995120894	consensus_peak_C1
GO:0097159	organic cyclic compound binding	MF	1.3565149450028942	0.09547610732005324	consensus_peak_C1
GO:0023052	signaling	BP	1.2986527112750053	0.09542906536137077	consensus_peak_C1
