tissue	CV
bladder	0.2460505112014073
bonemarrow	0.28087653371569804
brain	0.2437754753173862
breast	0.24491111393966614
colonsigmoid	0.24044651167605546
colontransverse	0.2449155357587157
heart	0.24840098664857327
hypothalamus	0.24791286060609175
kidney	0.24347718585240274
liver	0.27609770672957734
lung	0.24066714189474725
lymphnodes	0.24738093379079595
ovary	0.2567207505235748
pancreas	0.248482924912864
placenta	0.2564625199280787
prostate	0.2681462595647532
skin	0.24869660041854458
stomach	0.24612685645007712
testis	0.2474878174818932
