	bladder	bonemarrow	brain	breast	colonsigmoid	colontransverse	heart	hypothalamus	kidney	liver	lung	lymphnodes	ovary	pancreas	placenta	prostate	skin	stomach	testis
EPI-509_XH-GJH	0.045450859740144275	0.09633100214475593	0.043236172287102755	0.049945808087875944	0.06082453218743954	0.06323148342060048	0.046116187826945564	0.04138359107255288	0.045843702949686066	0.05040039258787976	0.05695123071231299	0.06297112526276973	0.04307182097731369	0.04726493386646992	0.04707188088608316	0.04522190069292193	0.04871637836913431	0.061959105280998836	0.0440078916470122
EPI-509_XH-GXW	0.0444278013461988	0.10562874989453201	0.04198084685447387	0.048142284172843774	0.0628726202738955	0.06564009309254006	0.044910669684149515	0.040659461701396726	0.04491555523721432	0.050671490803139034	0.055474168867298244	0.06052231036119196	0.042306645272626446	0.04705838498739198	0.04830038193172723	0.044774585839890364	0.04661147845451531	0.06275246441034348	0.04235000681463133
EPI-509_XH-TB	0.04631225062259935	0.08730042674220993	0.044539550012501525	0.05037574565139054	0.06072895792258493	0.06331852429037454	0.047332780964859975	0.04274999202060946	0.04679629768383452	0.05029205751404965	0.056384994449749176	0.06032490512532057	0.04420393340724616	0.04829797189474473	0.0483136793463477	0.04606980426584189	0.04891229239783744	0.06273999398178783	0.045005841706110175
EPI-509_XH-YY	0.045180707617362224	0.09961631239975363	0.04282358034351373	0.049515076353813574	0.06136812132884571	0.06414757446763837	0.04574535461344495	0.041045266301929	0.04540095982010796	0.04959077386241697	0.056893827291571275	0.06307429039133541	0.042771511992634174	0.046938337485799335	0.047118049935052794	0.04491695432363829	0.04826256227730681	0.06215333143412649	0.04343740775970925
EPI-509_XH-ZZQ	0.04496772978946936	0.09705593471995512	0.043083183891597335	0.04937978385233236	0.06094834911091321	0.06331598677427508	0.04583147484257291	0.041047209043958165	0.04628868054702418	0.05263135299455285	0.05641524884127685	0.06246350530924548	0.042650660344158445	0.047533024741148226	0.04688803909801691	0.04512119928701612	0.048580675147575976	0.06169921841152785	0.04409874325338369
EPI-538_XH-CTS	0.04519668378357018	0.09710541436091219	0.04315778931900396	0.04934001085227404	0.06100108550753663	0.06331808901304813	0.04599957658808398	0.041443649241175426	0.04626305777680042	0.05299938965212227	0.055892568347952934	0.06079169967648853	0.04287547972352958	0.047801653002022965	0.04727798274841209	0.04544113472814957	0.048176843680288524	0.061887005290911484	0.04403088670771705
EPI-538_XH-DHZ	0.04490131176167659	0.09504306559145428	0.043629843052880944	0.049582777767121694	0.06326282615477473	0.06596109128345536	0.04585832238654916	0.04147098315725068	0.0449566601012239	0.04825757941335972	0.057013072147778954	0.06372120002100162	0.04274375586452512	0.046601048856622904	0.04631179485502737	0.044809414704856824	0.04775512345002763	0.0641397277582545	0.04398040167215791
EPI-538_XH-DLY	0.04442843959084219	0.09944682709557986	0.04389759731369297	0.04992087721616927	0.06158672889992423	0.0639313013006177	0.04568574783419333	0.041326134753461745	0.04534391223042058	0.050198110353090984	0.057236466503432615	0.06415843422791971	0.04182869843036491	0.04617253738734792	0.045226186421802345	0.04469108658638767	0.0484297248577871	0.06196617991261709	0.04452500908434805
EPI-538_XH-GJP	0.04528911944409486	0.08942108783062111	0.04501579471731976	0.05012497712796203	0.06199925659099097	0.06470161003215395	0.04681003405090749	0.04260075520295087	0.045714770573667796	0.04859164857929337	0.05687770629982454	0.062778963721561	0.04316309059687797	0.04720810912710668	0.04649063396786286	0.04536872834388043	0.048350063027077596	0.06400737275182683	0.04548627801401972
EPI-538_XH-GSW	0.047315150139090496	0.06911072653874624	0.04454710112150892	0.04929169551285028	0.06202100553224741	0.06503133950790214	0.048099504934630444	0.043599783078023036	0.04942040888075394	0.06074122692215852	0.05378974210509161	0.05402921747571364	0.04562589332322976	0.052345852479202204	0.049068015249807855	0.04797420964405881	0.0477122571020771	0.0647565576334574	0.0455203128194505
