	GSM4290167_bladder1	GSM4290168_bladder2	GSM4290169_bladder3	GSM4290170_bladder4	GSM4290171_bladder5	GSM4290172_bonemarrow1	GSM4290173_bonemarrow2	GSM4290174_bonemarrow3	GSM4290175_bonemarrow4	GSM4290176_bonemarrow5	GSM4290177_brain1	GSM4290178_brain2	GSM4290179_brain3	GSM4290180_brain4	GSM4290181_brain5	GSM4290182_breast1	GSM4290183_breast2	GSM4290184_breast3	GSM4290185_breast4	GSM4290186_breast5	GSM4290187_colonsigmoid1	GSM4290188_colonsigmoid2	GSM4290189_colonsigmoid3	GSM4290190_colonsigmoid4	GSM4290191_colonsigmoid5	GSM4290192_colonsigmoid6	GSM4290193_colontransverse1	GSM4290194_colontransverse2	GSM4290195_colontransverse3	GSM4290196_colontransverse4	GSM4290197_colontransverse5	GSM4290198_colontransverse6	GSM4290199_heart1	GSM4290200_heart2	GSM4290201_heart3	GSM4290202_heart4	GSM4290203_heart5	GSM4290204_hypothalamus1	GSM4290205_hypothalamus2	GSM4290206_hypothalamus3	GSM4290207_hypothalamus4	GSM4290208_kidney1	GSM4290209_kidney2	GSM4290210_kidney3	GSM4290211_kidney4	GSM4290212_kidney5	GSM4290213_liver1	GSM4290214_liver2	GSM4290215_liver3	GSM4290216_liver4	GSM4290217_liver5	GSM4290218_lung1	GSM4290219_lung2	GSM4290220_lung3	GSM4290221_lung4	GSM4290222_lung5	GSM4290223_lymphnodes1	GSM4290224_lymphnodes2	GSM4290225_lymphnodes3	GSM4290226_lymphnodes4	GSM4290227_lymphnodes5	GSM4290228_ovary1	GSM4290229_ovary2	GSM4290230_ovary3	GSM4290231_ovary4	GSM4290232_ovary5	GSM4290233_pancreas1	GSM4290234_pancreas2	GSM4290235_pancreas3	GSM4290236_pancreas4	GSM4290237_pancreas5	GSM4290238_placenta1	GSM4290239_placenta2	GSM4290240_placenta3	GSM4290241_placenta4	GSM4290242_placenta5	GSM4290243_prostate1	GSM4290244_prostate2	GSM4290245_prostate3	GSM4290246_prostate4	GSM4290247_prostate5	GSM4290248_skin1	GSM4290249_skin2	GSM4290250_skin3	GSM4290251_skin4	GSM4290252_skin5	GSM4290253_stomach1	GSM4290254_stomach2	GSM4290255_stomach3	GSM4290256_stomach4	GSM4290257_stomach5	GSM4290258_testis1	GSM4290259_testis2	GSM4290260_testis3	GSM4290261_testis4	GSM4290262_testis5
EPI-509_XH-GJH	23.380205870521323	24.666118266750253	22.348138615152106	23.44186118403572	26.23453053944889	58.100902677659406	50.96533154708775	48.4359893727971	48.775361911709076	48.20705584122255	23.430133939542426	23.694258250692517	23.63518103392163	23.274632031813717	20.185947684167154	28.370311731102504	26.57354749096962	26.36760866114243	26.449193530822637	24.184826281636447	32.14002508590573	34.38070618165405	31.8305231661928	32.30482741568249	31.265512595242413	30.89993442227207	34.910550803930384	35.35228151526708	34.71012357305859	33.69350128234444	30.247493835419505	31.537920417659024	22.925760435049835	24.480712536713774	22.437306215585718	24.973902540565845	27.01081852952038	24.149577311593468	20.87016188175888	20.387834138820804	22.053269780973565	24.629924460771118	24.66267740367301	24.726501117646944	22.997772398778867	24.091781682589396	30.691822977966275	28.049054899145442	26.659060651015146	24.378081975108188	23.36837625464394	29.16117994597122	30.857465809576123	30.357053188502718	28.594126516408405	31.482398637784854	31.249086624769195	34.76384183481785	31.668665053350697	31.85419541539713	36.81963010749031	24.837412662632918	24.739241167224552	19.5077829093769	22.051592667869915	22.649944678916157	25.63539382285208	24.15818878575391	25.36330874763742	25.26966297644568	24.43667220561546	25.955328218384555	23.78487528538599	25.141163162096493	27.83021874772014	21.641638971915715	26.085851148155985	24.74678382645706	26.559892629610808	18.72509203588327	23.348377004790855	24.162607159918043	24.339226907744823	28.439446674431334	24.46661278989055	27.289719916835004	35.2733541707475	30.56599229972117	32.41604503071516	31.846403598814558	33.580096863893345	23.69290793827559	22.135346393941028	23.08560692950886	26.06828065892768	21.276718394651606
EPI-509_XH-GXW	23.387820833396184	25.374300390818824	22.8494798874837	23.842410637532275	26.066822823986087	66.1394979206584	60.3988035234354	53.00964517626997	55.17330223380175	54.19905449565092	23.18475882890789	23.77026921892619	23.716845235049988	23.21576797252649	20.94017806638807	28.201071645530487	26.620480771605934	26.040348498978982	26.473061951380622	24.345885017754973	33.87663907528138	37.02991321474734	33.97296222545578	34.557215023815985	33.539329486159204	33.39021765662812	38.06069500816676	38.28095918903767	36.63626939554105	36.05001585757338	32.55916670789533	33.86282345442737	22.981386221282047	24.728259865155636	22.81829238318605	25.250960944229462	27.062697421702847	24.397658713841327	21.29427161808741	21.275537235267475	22.00334025197992	25.201349397986647	24.621660673900656	25.167293899945832	23.641395461001792	24.223260577755607	32.22404607682308	28.955750545483667	27.636925075722765	25.721886547559848	24.060234480923114	29.275176679424074	31.475932679793544	30.613974221733265	28.6678469671703	31.702403943880032	31.67506609651568	34.132776124182385	31.228103488792208	31.7701248775887	36.737157809042614	24.960383237934664	25.222111877235566	19.931531132570875	22.491420792806466	23.11351013810842	26.375470255825977	24.493836413702162	26.182951791419992	26.709929983046077	24.95393173432058	27.843048482508564	26.423468731358906	26.707277975935828	28.5020879571807	22.637400533456677	26.722028379731192	25.237207386558662	26.656434164158753	19.63107562211839	24.22262889463718	24.098034450664276	24.071062455472823	27.89342891179561	24.31393341799684	27.117262957209213	37.627865309092385	32.17709061179704	34.203441714328754	33.15444912459094	34.48039498533946	23.45795764609759	21.970386189987895	23.23669263463505	25.909526295139706	21.262998768922998
EPI-509_XH-TB	22.63818631500378	24.26005268987743	21.952805606210124	22.89602964654236	25.25283093986262	49.77417455651461	44.14317132283914	41.896757789602695	42.61790854396315	42.117443173626796	22.911244370723523	23.465629181534762	23.22385766794423	22.850105521286004	20.07064642864509	27.166399304192467	25.621580948508303	25.3846725207889	25.80723246956503	23.285738565557153	30.740067551284277	32.595761268747054	30.23467787456939	30.71265938851132	29.947529167467234	29.87477725395824	33.471549119900594	34.09457276949654	32.86723495842367	32.16316395147443	29.085204218085973	30.27425828188316	22.492483319814347	24.12367696292394	22.221186376431017	24.405476494822476	26.33527575446607	23.896118422302663	20.709033908374423	20.11877414090312	21.676452630951083	24.15364065138203	24.040014809818814	24.23210329690907	22.43902893953365	23.357978827347893	28.776922992401907	26.45320852674576	25.584063387982507	23.605402460057082	22.634602811533885	28.138577833131297	28.990930939550044	28.719092442498763	26.929230042733373	29.669122118237055	28.887463627993117	31.41394946559552	29.638129475695223	29.445213266593587	33.0157016203256	24.219186983095145	24.244890384967707	19.248977234147052	21.698873540486243	22.261677619846697	25.13681927172643	23.522343321241717	24.66759909736796	25.015075412665283	23.67465004562751	25.655771967464133	23.42023312898282	24.76862587486372	27.018255597758788	21.19328274407824	25.314449541041892	24.078204160087868	25.54451872779186	18.588798321024328	22.86143558656302	23.302727537956518	23.48835290666795	27.19514057483545	23.483546916267223	26.0986938990046	34.67414209370288	29.85066844146622	31.456434900987666	30.609552432835965	31.910964608053163	23.171450863473012	21.72864801379562	22.69318121511897	25.147693223944167	20.958515310525858
EPI-509_XH-YY	25.081051761099285	26.753621472796024	24.139516576044254	25.358442737548174	28.17111331695094	65.34271169445016	57.58084713576511	54.26268070431863	54.26636316257036	54.08266855687443	25.035765110735834	25.459203124855616	25.361057849238758	25.058728427814216	21.83263830775057	30.544229478016938	28.572012183651637	28.259203916279812	28.460605221594914	26.091515251201134	35.090602251731696	37.65695205268665	34.73998072772928	35.354801487683346	34.25211334960533	33.988607688382395	38.5390952862876	39.009330260217176	38.27275758327947	37.19520742683977	32.94611856692534	34.68081285447505	24.597835047209223	26.348206385742074	24.166004229379222	26.909818559983595	29.100357866603098	26.01771631031255	22.47107074133539	22.034916253408767	23.596393814636123	26.500497965194022	26.396918641337248	26.611370171947215	24.830214013175055	25.79606509397721	33.084500739905124	30.142448921355044	28.35824987322803	25.873079437826426	24.686262673406528	31.55661830374456	33.556802042765455	32.93353890820116	30.888611105418825	34.14208245625753	34.271862137334764	37.547016422148765	34.26628133819018	34.59699671139701	40.11086997646989	26.778324070583103	26.7086239718062	20.98001241903468	23.803729522223836	24.327456690870196	27.628557731581694	25.935039242004684	27.407832223739362	27.402555938228055	26.16774405870674	28.33451333045952	26.061378246930566	27.30417089691494	30.059481754218513	23.297303842446496	28.165557399927792	26.74703096038992	28.602623735613918	20.07674146206637	25.155782909451773	25.984487326149857	26.09866962041097	30.640797702855863	26.21740847005634	29.396058526511563	38.89120645692645	33.211284261516205	35.203444989448656	34.616950210606596	36.23034945890037	25.379541697170925	23.614366411468254	24.818128551732507	27.90131427946968	22.793486428984338
EPI-509_XH-ZZQ	21.48561775141569	22.608947508357193	20.57823515947473	21.47037349953281	24.167480406358738	53.82675828668077	47.81781614979385	45.690882377570205	45.139612902983146	45.61352659906771	21.66635963511896	21.804416922843505	21.877959576700817	21.631049841853702	18.707875547488978	26.0064796836172	24.484826489371606	24.348051005518666	24.268514957593275	22.026023052451578	29.81576225521159	31.631053254276	29.88467914052226	30.308714898468704	28.946843658496526	28.82833561355589	32.34244337874251	32.6448195861017	32.354138212386424	31.448292435075928	28.139454677516614	29.45592286263072	21.09060113143692	22.67085985334769	20.741560611525816	23.062886849415545	24.863604946215972	22.337722677257208	19.265796064093013	18.58062901365354	20.370410085630816	23.03873567270013	23.27156174525427	23.26594491828763	21.35827907266608	22.616566513376608	29.431136283868955	27.156599069364542	25.93428627607404	23.716241183547684	22.872079515480664	26.825487932169285	28.399165672830925	27.99312290440312	26.45919772817285	28.71566961464159	28.584541561701897	31.98016057088266	29.2297884058631	29.374114550048567	34.061059258897124	22.894678117910278	22.7542894975424	17.886645603225674	20.24321877869737	20.847802969310294	24.08408967659887	22.667961146747295	23.68087787555944	23.520330697825855	22.65033802296748	24.054263772244802	21.831199984657044	23.30159972996775	25.755471116774117	20.07884399697673	24.280118175060704	22.899979405505594	24.56323816509649	17.405402357062354	21.53839332660835	22.32683160055567	22.56847012882716	26.44132000126424	22.633377090397534	25.20359718159609	32.48728614789898	28.26896050660162	30.096168437232876	29.3244339042826	31.177937785307545	22.18254827528809	20.612636818989024	21.54947867308844	24.00353455475037	19.830739017439605
EPI-538_XH-CTS	22.35343063596216	23.6010601324669	21.42104632884491	22.396741436474734	24.839992548565466	56.24000116501381	49.77207220435793	47.26669254953906	46.37989557271275	46.58666322264405	22.14566652171776	22.787194029770664	22.642720801385217	22.187681407095152	19.67866604236504	26.75796335904068	25.161748806241558	25.03986743179357	25.21648906075478	22.94308225343251	30.735067702946345	32.962923069558144	30.8974414347863	31.205463080933136	29.980562093111637	29.846487765739326	33.74622385585557	33.96998697926558	33.06395431464021	32.5110525656436	29.21594088694911	30.171490578070063	21.829820070949566	23.565346850469727	21.664593063288336	23.827135386239583	25.761396057497453	23.002738574901404	20.216965434972174	19.64404685521382	21.21234257956723	23.96104571470163	23.7569404181045	24.047564330120835	22.19283398123083	23.358057275376037	29.863573795448723	28.29338759314391	26.97269986261604	25.23552687801179	24.033619603978345	27.492359958425762	29.145779620841353	28.49555259848307	27.047801397105648	29.553998030195114	28.974248326846464	32.15040390992202	29.58399904455493	29.609906136558138	33.84042460480252	23.618372259734276	23.53863004995404	18.74898017784023	21.08199053738186	21.7380593625318	24.979667748269247	23.545695167947255	24.51292504488945	24.629499524512383	23.550309804124943	25.015801506255496	23.061435124522006	24.321303376382165	26.5750691441157	20.916535907459057	25.068202546142235	23.81173886181094	25.36341896106119	18.424971416609605	22.56383163349577	22.993095266764218	23.22595089807685	26.8324087314399	23.235998808439554	25.88207302906887	34.11924292108408	29.478548342904165	31.140658757616016	30.420103034729976	31.777966021930443	22.76513661733447	21.289824959073165	22.309239405318	24.799498248535436	20.49227861769813
EPI-538_XH-DHZ	25.574926036012037	27.613734263868405	24.555414581744852	25.854097453653196	29.112714380058133	64.08616109228366	53.870730375359045	56.47490503269616	52.450839459325145	54.02785453409582	26.318919359008174	26.985086051868095	26.69098338349677	26.4340315641564	22.52389730969588	31.793577098354696	29.31809933514353	29.292673648286833	29.228870008305215	26.914266945698216	37.7671877286389	40.21597149559235	36.963589706164896	37.72953147590413	36.03498217131178	35.66523135682313	40.691136367897926	41.43449902078607	40.69496146740248	39.619250581793644	34.85148003708428	36.65519843682364	25.2411837869656	27.568360973953887	24.736049633837204	28.029769976175682	29.96407508907564	27.603357989708925	23.115751266975142	22.69571858150092	24.64290333844245	26.938943743327354	27.063377332689644	27.463074549577325	25.158957063460644	26.250122280863867	33.31802204799829	30.36647930263812	28.473719938975158	25.727728705752618	24.744763972971114	32.6067888334615	34.44939850256583	34.1605115938291	31.7447736131308	35.547086834002464	35.31088032809712	39.250463165750894	35.76174190008983	35.736546579347156	42.275555253251596	27.92516825729273	27.685688202810418	21.31339165483565	24.3415691756969	25.06816984170789	28.467833485792998	26.45940073956424	27.992875501733394	28.01282718280455	26.80171432819205	28.59149201092765	25.937169440155763	27.821140161304132	31.192230942679522	23.33769588607717	29.156889529204175	27.501942747305552	29.943065811452694	20.20882994700923	25.62854657331088	26.18791179470088	26.413706632867825	31.718802476855906	26.433770761444183	30.3914570824761	41.38345452112992	34.92746107276141	37.40159629343764	36.82357313631668	39.03610809306627	26.60388559172857	24.44960795047146	26.13656342657325	29.48322166774747	23.315754534451596
EPI-538_XH-DLY	27.274453952246276	28.924740231441945	25.88360009721635	27.28309872208864	31.380257195543667	72.53563173913678	60.692478135265205	64.65237018597605	57.67855098499742	59.481474362054875	28.598956893145893	29.215039202284263	28.60024436811244	28.893572695756905	23.75666629951646	34.59325044575771	31.547810191932417	31.807271395119	31.34759013983612	28.8498814481046	39.493135374893626	41.67906211745075	39.00475253600146	39.49813009330645	37.55722424022756	36.89057033224791	41.84482093690438	42.456102500679904	42.75586779374983	41.46906795191406	36.18035732936773	38.32958536864713	27.109212873352096	29.38340835509196	26.22422634050872	30.001064742543562	32.01130135931775	29.810637171269736	24.604435462723956	23.69235866528598	26.627183244052187	28.914679993362608	29.687268912418247	29.720552950459346	26.798450389573436	28.525350441070117	36.34697906908985	34.30667884053492	31.925022163535022	28.595416967542324	27.849961524145286	34.916419385649796	37.05368115110097	36.78607051476647	34.61780908233376	37.947092258395585	37.46730772430284	42.80961297254243	39.20912003251262	38.28411375531927	45.47922144449806	29.603092185817015	28.940868978564502	22.214113903120328	25.403230942806935	26.349048305689937	30.36911943691083	28.451341398301548	29.831382631786553	29.244856340402514	28.37462869333562	29.84357523377597	26.531709010291223	29.10193238180899	33.123733731348786	24.672405305306377	31.29663023440811	29.450126999382164	32.44588821671752	21.31480541493734	27.07074641430092	28.2122968814089	28.624095700415893	34.75934012342926	28.5965955008616	33.22961034679555	42.41507022607484	36.038922972245686	38.65132746067946	38.4361052743356	40.76304358056748	29.11984232552179	26.778968104053106	28.212051404519432	31.892405247598877	25.04880843321182
EPI-538_XH-GJP	30.661428353230594	33.220740898218935	29.552759322335355	31.037305428561098	35.09487801302252	71.77317181249103	59.57717455325987	64.70718097456628	58.822920969122464	60.176786486616365	32.44035302499862	33.26269778128455	32.7398987988397	32.68040342225333	27.48075423477047	38.36725627444395	35.196160211598794	35.496643823592166	35.33998128516925	32.205243257740705	44.34965472713994	46.55645828631611	43.24122657428686	43.78183048239815	42.50458672779475	41.696550245094734	47.15030029246271	48.31467331934529	47.79622043255798	46.305511403248545	40.84529024138005	43.14375056444383	30.85756209737589	33.62407990164439	30.083568771001296	34.03728401641168	36.323254235129525	33.8792438679619	28.405740304202194	27.527515051922013	30.263661422837433	32.60822431772537	33.022173290377225	33.42518629109093	30.258286678433024	31.752937662921845	39.220086823449684	36.32901476824065	34.395464277719306	31.11538862874756	30.142955318507433	39.02792521069672	40.65881000334853	40.643595034248534	37.93690483140894	42.1299341239194	41.3505857517511	46.05183656335446	42.52181649697922	42.03608990555857	49.228735219284914	33.68199608681923	33.328222342264986	25.610752913909227	29.272683814308316	30.182821416798586	34.53136621698026	32.04611905320078	33.653363367855995	33.73124003691049	32.36619788883467	34.11749662319971	30.73036177687571	33.224632068218	37.67193925643081	28.055977284132585	35.17290568751844	33.136047230040504	36.26822411340862	24.412731895743764	30.857689050526748	31.444355106375617	31.929067972520738	38.31901556704469	31.85411651351694	36.80517650790985	49.278772199495	41.76830838785564	44.42454505855368	44.01621461600095	46.02927605800375	32.932322040497866	30.349304436546056	32.05453814886978	36.2708318133725	28.654764180386103
EPI-538_XH-GSW	23.975051624322838	26.284408034770113	23.814619944206708	24.85759731578229	26.12743298080247	40.88366296982822	36.57280078137245	34.226292430782344	35.73076650926485	35.25367629391129	23.486037443341424	24.057322404843955	24.53745036197657	23.503577958258056	22.158465832870007	27.663061259862623	26.31161418183131	25.649527374340764	26.530445612472125	24.1286867859437	32.54001295294043	34.726923944933425	31.86477836143997	32.72336713703377	32.1783123387372	32.680555637879465	36.21702952956123	36.468995610629904	34.18153711393342	34.61887568174758	31.959020866002565	32.81646137923947	23.94093103378768	25.813152515227706	24.044257588986888	25.912453375262032	27.421450783793702	24.561492819083053	22.636751781471684	22.207656259696748	22.78529029162196	27.161539292225815	26.05783577878389	26.815558282892983	25.07722815101663	25.51137719984941	33.59865176491717	32.1316526026155	32.77724934689513	31.99425477835798	30.043888832101914	28.264807497545657	28.680305722019607	28.515524250150072	27.051925618127292	29.659600577120806	28.061435173103998	28.72121665212927	28.683328815303963	28.164779567706667	29.174363018401102	25.599483833516985	26.064088682771793	21.26327707337354	23.522488722972643	24.14488131081934	28.433495259210815	26.42641273924829	27.581705705326083	28.960712436763707	26.953479531750734	27.21649098775905	25.893461768586892	26.36591855300268	27.48325598677397	22.732996551228265	27.11231106916662	25.919956065078605	26.975932634262357	21.424362720645647	25.368513669320766	24.099515944784816	24.46586012131771	26.774365728811865	24.407775929623817	26.36118925324115	37.800883209812284	33.02640930809048	34.29541799809388	32.63999948514813	33.39594497541572	24.02777961908101	23.101174735099935	24.205301826638813	26.267428144862887	22.71347449406286
